משפחה,תאור מחסן,מחסן,כמות,מק'ט
69.0,מחסן ראשי,Main,33.0,69140763BAW
69.0,מחסן ראשי,Main,53.0,69146951BAW
69.0,מחסן ראשי,Main,9.0,69220501ER
69.0,מחסן ראשי,Main,9.0,69220502ER
69.0,מחסן ראשי,Main,1.0,69260293GSP
69.0,מחסן ראשי,Main,-5.0,69260505GSP
69.0,מחסן ראשי,Main,49.0,69260813GSP
69.0,מחסן ראשי,Main,13.0,69310938ER
69.0,מחסן ראשי,Main,14.0,69310940ER
69.0,מחסן ראשי,Main,3.0,69402028ER
69.0,מחסן ראשי,Main,7.0,69450643GSP
69.0,מחסן ראשי,Main,2.0,69451208ER
69.0,מחסן פגומים,06,2.0,69451501BAW
69.0,מחסן ראשי,Main,6.0,69451501BAW
69.0,מחסן ראשי,Main,87.0,69451503BAW
69.0,מחסן ראשי,Main,3.0,69451504ER
69.0,מחסן ראשי,Main,135.0,69451505BAW
69.0,מחסן ראשי,Main,25.0,69451515ER
69.0,מחסן ראשי,Main,24.0,69451516ER
69.0,מחסן ראשי,Main,182.0,69451587GSP
69.0,מחסן ראשי,Main,321.0,69451589GSP
69.0,מחסן ראשי,Main,-2.0,69451591GSP
69.0,מחסן פגומים,06,1.0,69451591GSP
69.0,מחסן ראשי,Main,2.0,69480300OCAP
69.0,מחסן ראשי,Main,2.0,69480302OCAP
69.0,מחסן ראשי,Main,24.0,69580124OCAP
69.0,מחסן ראשי,Main,2.0,69680402ER
69.0,מחסן ראשי,Main,25.0,69680535GSP
69.0,מחסן ראשי,Main,14.0,69681365GSP
69.0,מחסן ראשי,Main,-4.0,69760393GSP
69.0,מחסן ראשי,Main,11.0,69761143GSP
69.0,מחסן ראשי,Main,24.0,69761145GSP
69.0,מחסן ראשי,Main,5.0,69780563GSP
69.0,מחסן ראשי,Main,26.0,69780565GSP
69.0,מחסן ראשי,Main,20.0,69780567GSP
69.0,מחסן ראשי,Main,10.0,69780569GSP
69.0,מחסן ראשי,Main,23.0,69780571GSP
69.0,מחסן ראשי,Main,13.0,69780573GSP
69.0,מחסן ראשי,Main,16.0,69780575GSP
69.0,מחסן ראשי,Main,44.0,69780701GSP
69.0,מחסן ראשי,Main,68.0,69780703GSP
69.0,מחסן ראשי,Main,25.0,69780791GSP
69.0,מחסן ראשי,Main,37.0,69780793GSP
69.0,מחסן ראשי,Main,14.0,69780795GSP
69.0,מחסן ראשי,Main,28.0,69780797GSP
69.0,מחסן ראשי,Main,27.0,69780799GSP
69.0,מחסן ראשי,Main,30.0,69781302ER
69.0,מחסן ראשי,Main,46.0,69801721GSP
69.0,מחסן ראשי,Main,106.0,69801723GSP
69.0,מחסן ראשי,Main,6.0,69820737GSP
69.0,מחסן ראשי,Main,14.0,69820739GSP
69.0,מחסן ראשי,Main,23.0,69901561GSP
69.0,מחסן ראשי,Main,1.0,69901979BAW
69.0,מחסן ראשי,Main,15.0,69901981BAW
69.0,מחסן ראשי,Main,14.0,69901985TOTAL
69.0,מחסן ראשי,Main,6.0,69990261BAW
69.0,מחסן ראשי,Main,4.0,69990263BAW
70.0,מחסן ראשי,Main,1.0,70020302ER
70.0,מחסן ראשי,Main,18.0,70020500ER
70.0,מחסן ראשי,Main,25.0,70020507GSP
70.0,מחסן ראשי,Main,103.0,70020713BAW
70.0,מחסן ראשי,Main,14.0,70030200ER
70.0,מחסן ראשי,Main,0.0,70030202ER
70.0,מחסן ראשי,Main,30.0,70040300ER
70.0,מחסן ראשי,Main,4.0,70040300OCAP
70.0,מחסן ראשי,Main,25.0,70040625GSP
70.0,מחסן ראשי,Main,29.0,70041133GSP
70.0,מחסן ראשי,Main,57.0,70041135GSP
70.0,מחסן ראשי,Main,19.0,70140200ER
70.0,מחסן ראשי,Main,21.0,70140402ER
70.0,מחסן ראשי,Main,10.0,70140467ARM
70.0,מחסן ראשי,Main,19.0,70140504ER
70.0,מחסן ראשי,Main,-1.0,70200112ER
70.0,מחסן ראשי,Main,49.0,70200277GSP
70.0,מחסן ראשי,Main,6.0,70220101ER
70.0,מחסן ראשי,Main,6.0,70220205ER
70.0,מחסן ראשי,Main,8.0,70220206ER
70.0,מחסן ראשי,Main,8.0,70220501ER
70.0,מחסן ראשי,Main,8.0,70220504ER
70.0,מחסן ראשי,Main,9.0,70220505ER
70.0,מחסן ראשי,Main,67.0,70260283GSP
70.0,מחסן ראשי,Main,20.0,70260402ER
70.0,מחסן ראשי,Main,1.0,70260489GSP
70.0,מחסן ראשי,Main,-1.0,70260502ER
70.0,מחסן ראשי,Main,11.0,70260504ER
70.0,מחסן ראשי,Main,3.0,70260595ARM
70.0,מחסן ראשי,Main,1.0,70260597ARM
70.0,מחסן ראשי,Main,12.0,70310104ER
70.0,מחסן ראשי,Main,3.0,70310107GSP
70.0,מחסן ראשי,Main,26.0,70310109GSP
70.0,מחסן ראשי,Main,18.0,70310113GSP
70.0,מחסן ראשי,Main,13.0,70310117GSP
70.0,מחסן ראשי,Main,1.0,70310500ER
70.0,מחסן ראשי,Main,1.0,70310502ER
70.0,מחסן ראשי,Main,30.0,70310523GSP
70.0,מחסן ראשי,Main,72.0,70310525GSP
70.0,מחסן ראשי,Main,6.0,70310604ER
70.0,מחסן פגומים,06,2.0,70310635GSP
70.0,מחסן ראשי,Main,37.0,70310635GSP
70.0,מחסן ראשי,Main,31.0,70310637GSP
70.0,מחסן ראשי,Main,30.0,70310643GSP
70.0,מחסן ראשי,Main,11.0,70310902ER
70.0,מחסן ראשי,Main,166.0,70310947GSP
70.0,מחסן ראשי,Main,51.0,70310951GSP
70.0,מחסן ראשי,Main,3.0,70310953GSP
70.0,מחסן ראשי,Main,57.0,70310959GSP
70.0,מחסן ראשי,Main,1.0,70310963GSP
70.0,מחסן ראשי,Main,24.0,70320571GSP
70.0,מחסן ראשי,Main,53.0,70320573GSP
70.0,מחסן ראשי,Main,20.0,70320900ER
70.0,מחסן ראשי,Main,28.0,70322097BAW
70.0,מחסן ראשי,Main,2.0,70370302ER
70.0,מחסן ראשי,Main,16.0,70370304ER
70.0,מחסן ראשי,Main,5.0,70370306ER
70.0,מחסן ראשי,Main,12.0,70370422ER
70.0,מחסן ראשי,Main,24.0,70370800ER
70.0,מחסן ראשי,Main,-1.0,70370811GSP
70.0,מחסן ראשי,Main,3.0,70370906ER
70.0,מחסן ראשי,Main,-9.0,70371027GSP
70.0,מחסן ראשי,Main,-15.0,70371518ER
70.0,מחסן פגומים,06,2.0,70371537GSP
70.0,מחסן ראשי,Main,3.0,70371643GSP
70.0,מחסן ראשי,Main,6.0,70371647GSP
70.0,מחסן ראשי,Main,40.0,70372914ER
70.0,מחסן ראשי,Main,4.0,70390304ER
70.0,מחסן ראשי,Main,23.0,70390404ER
70.0,מחסן ראשי,Main,67.0,70390559GSP
70.0,מחסן ראשי,Main,2.0,70390610ER
70.0,מחסן ראשי,Main,82.0,70390612ER
70.0,מחסן ראשי,Main,67.0,70390671GSP
70.0,מחסן ראשי,Main,10.0,70390706ER
